Parámetros obtenidos por SMAC {'alpha': '1.4', 'ants': '34', 'beta': '5.7', 'ph-max': '1.6', 'ph-min': '0.01', 'rho': '0.2'}
----------------- INSTANCE: weing7.dat ----------------------
VALUE: 0.0481996 ; SEED: 3898
VALUE: 0.0481996 ; SEED: 9709
VALUE: 0.0481996 ; SEED: 8916
VALUE: 0.0481996 ; SEED: 2136
VALUE: 0.0481996 ; SEED: 6061
VALUE: 0.0481996 ; SEED: 9894
VALUE: 0.0481996 ; SEED: 7766
VALUE: 0.0481996 ; SEED: 9516
VALUE: 0.0481996 ; SEED: 1073
VALUE: 0.0481996 ; SEED: 9922
VALUE: 0.0481996 ; SEED: 215
VALUE: 0.0481996 ; SEED: 7687
VALUE: 0.0481996 ; SEED: 4249
VALUE: 0.0481996 ; SEED: 9024
VALUE: 0.0481996 ; SEED: 3839
VALUE: 0.0481996 ; SEED: 3141
VALUE: 0.0481996 ; SEED: 7704
VALUE: 0.0481996 ; SEED: 8863
VALUE: 0.0481996 ; SEED: 9005
VALUE: 0.0481996 ; SEED: 7804
El promedio es 0.0481996
----------------- INSTANCE: pet6.dat ----------------------
VALUE: 0.499152 ; SEED: 6506
VALUE: 0.536824 ; SEED: 2467
VALUE: 0.499152 ; SEED: 3799
VALUE: 0.499152 ; SEED: 2484
VALUE: 0.517988 ; SEED: 8571
VALUE: 0.499152 ; SEED: 6388
VALUE: 0.499152 ; SEED: 248
VALUE: 0.499152 ; SEED: 1049
VALUE: 0.499152 ; SEED: 2611
VALUE: 0.499152 ; SEED: 9684
VALUE: 0.536824 ; SEED: 701
VALUE: 0.536824 ; SEED: 4935
VALUE: 0.536824 ; SEED: 508
VALUE: 0.499152 ; SEED: 4414
VALUE: 0.536824 ; SEED: 7745
VALUE: 0.536824 ; SEED: 9744
VALUE: 0.499152 ; SEED: 6350
VALUE: 0.499152 ; SEED: 6994
VALUE: 0.536824 ; SEED: 6471
VALUE: 0.499152 ; SEED: 9452
El promedio es 0.513279
----------------- INSTANCE: gk03.dat ----------------------
VALUE: 1.75035 ; SEED: 7284
VALUE: 1.66195 ; SEED: 2197
VALUE: 1.34371 ; SEED: 5988
VALUE: 1.80339 ; SEED: 1596
VALUE: 1.64427 ; SEED: 587
VALUE: 1.18458 ; SEED: 2227
VALUE: 1.34371 ; SEED: 8108
VALUE: 1.71499 ; SEED: 3555
VALUE: 1.92716 ; SEED: 4226
VALUE: 1.50283 ; SEED: 7146
VALUE: 1.67963 ; SEED: 4932
VALUE: 1.66195 ; SEED: 6900
VALUE: 1.52051 ; SEED: 8310
VALUE: 1.75035 ; SEED: 6322
VALUE: 1.83876 ; SEED: 9404
VALUE: 1.37907 ; SEED: 5749
VALUE: 1.64427 ; SEED: 8750
VALUE: 1.87412 ; SEED: 9585
VALUE: 1.75035 ; SEED: 6677
VALUE: 1.32603 ; SEED: 9572
El promedio es 1.6150990000000003
----------------- INSTANCE: weish30.dat ----------------------
VALUE: 0 ; SEED: 3807
VALUE: 0 ; SEED: 5517
VALUE: 0.035743 ; SEED: 469
VALUE: 0 ; SEED: 4582
VALUE: 0 ; SEED: 9925
VALUE: 0 ; SEED: 2672
VALUE: 0 ; SEED: 5347
VALUE: 0 ; SEED: 8876
VALUE: 0 ; SEED: 9370
VALUE: 0 ; SEED: 9324
VALUE: 0 ; SEED: 1705
VALUE: 0 ; SEED: 3459
VALUE: 0 ; SEED: 9396
VALUE: 0 ; SEED: 4375
VALUE: 0 ; SEED: 4668
VALUE: 0 ; SEED: 2038
VALUE: 0 ; SEED: 1039
VALUE: 0 ; SEED: 7897
VALUE: 0 ; SEED: 7921
VALUE: 0 ; SEED: 1450
El promedio es 0.00178715
----------------- INSTANCE: gk02.dat ----------------------
VALUE: 1.66751 ; SEED: 5637
VALUE: 1.21273 ; SEED: 1091
VALUE: 1.69277 ; SEED: 6725
VALUE: 1.59171 ; SEED: 2470
VALUE: 1.1622 ; SEED: 329
VALUE: 1.51592 ; SEED: 4815
VALUE: 1.44012 ; SEED: 6998
VALUE: 1.59171 ; SEED: 6802
